StartX,StartY,TargetX,TargetY,DistanceBucket,EuclideanDist,OctagonalDistance,ShortestPathLength
15,27,16,19,Short,8.06,8.414,8.414
15,27,20,18,Short,10.30,11.070,12.242
25,2,26,21,Medium,19.03,19.414,20.000
14,7,3,14,Short,13.04,13.898,13.898
21,1,9,4,Short,12.37,13.242,13.828
20,10,2,2,Medium,19.70,21.312,21.898
20,29,17,29,Short,3.00,3.000,3.000
21,12,17,19,Short,8.06,8.656,8.656
15,17,30,12,Medium,15.81,17.070,17.070
14,21,28,10,Medium,17.80,18.554,19.140
14,21,19,15,Short,7.81,8.070,8.070
7,9,8,6,Short,3.16,3.414,3.414
17,25,21,8,Medium,17.46,18.656,19.484
2,22,17,16,Medium,16.16,17.484,17.484
26,19,8,3,Medium,24.08,24.624,25.796
21,1,6,28,Long,30.89,33.210,33.210
25,20,6,17,Medium,19.24,20.242,20.242
28,1,29,30,Long,29.02,29.414,29.414
14,21,11,24,Short,4.24,4.242,4.242
19,22,28,26,Short,9.85,10.656,10.656
25,20,13,1,Medium,22.47,23.968,23.968
21,4,1,30,Long,32.80,34.280,34.866
5,24,15,30,Short,11.66,12.484,13.070
5,9,15,28,Medium,21.47,23.140,23.140
2,22,3,17,Short,5.10,5.414,5.414
14,15,30,3,Medium,20.00,20.968,22.140
25,20,24,19,Short,1.41,1.414,1.414
15,23,17,15,Short,8.25,8.828,8.828
10,24,21,14,Medium,14.87,15.140,15.140
27,28,30,15,Short,13.34,14.242,14.242
4,1,9,12,Short,12.08,13.070,13.070
13,28,7,7,Medium,21.84,23.484,23.484
7,9,27,20,Medium,22.83,24.554,25.140
11,13,6,17,Short,6.40,6.656,9.000
9,10,15,17,Short,9.22,9.484,10.070
27,28,5,20,Medium,23.41,25.312,26.484
12,7,26,16,Medium,16.64,17.726,17.726
5,8,13,11,Short,8.54,9.242,9.242
27,28,7,28,Medium,20.00,20.000,21.414
20,10,19,18,Short,8.06,8.414,8.414
13,28,12,19,Short,9.06,9.414,10.000
6,4,13,9,Short,8.60,9.070,9.070
26,19,21,9,Short,11.18,12.070,12.070
25,2,18,10,Short,10.63,10.898,10.898
4,2,23,28,Long,32.20,33.866,34.452
27,15,8,23,Medium,20.62,22.312,22.312
21,4,20,28,Medium,24.02,24.414,24.414
23,19,8,15,Medium,15.52,16.656,17.242
15,17,17,2,Medium,15.13,15.828,15.828
28,1,24,26,Medium,25.32,26.656,26.656
4,2,25,18,Long,26.40,27.624,28.796
12,7,29,5,Medium,17.12,17.828,17.828
4,8,29,30,Long,33.30,34.108,35.866
23,26,12,26,Short,11.00,11.000,11.000
15,17,30,9,Medium,17.00,18.312,18.898
21,12,12,19,Short,11.40,11.898,12.484
25,20,30,1,Medium,19.65,21.070,21.070
11,13,16,12,Short,5.10,5.414,5.414
25,20,24,4,Medium,16.03,16.414,16.414
11,13,16,20,Short,8.60,9.070,9.656
10,20,18,10,Short,12.81,13.312,13.312
23,19,21,25,Short,6.32,6.828,6.828
14,15,7,27,Medium,13.89,14.898,15.484
10,24,5,25,Short,5.10,5.414,5.414
6,4,2,24,Medium,20.40,21.656,21.656
25,2,11,28,Long,29.53,31.796,31.796
13,28,24,29,Short,11.05,11.414,12.000
17,25,12,25,Short,5.00,5.000,5.000
27,28,27,21,Short,7.00,7.000,7.000
5,9,28,27,Long,29.21,30.452,31.038
11,13,13,8,Short,5.39,5.828,5.828
21,27,16,8,Medium,19.65,21.070,21.070
21,1,27,30,Long,29.61,31.484,31.484
28,1,9,19,Medium,26.17,26.452,28.210
10,20,27,23,Medium,17.26,18.242,18.242
25,20,28,2,Medium,18.25,19.242,19.242
23,19,29,2,Medium,18.03,19.484,19.484
23,24,1,21,Medium,22.20,23.242,23.242
14,21,29,19,Medium,15.13,15.828,15.828
25,2,6,25,Long,29.83,30.866,30.866
15,27,30,1,Long,30.02,32.210,33.382
20,29,1,1,Long,33.84,35.866,37.624
21,1,7,27,Long,29.53,31.796,32.382
19,22,1,1,Long,27.66,28.452,30.210
30,3,6,25,Long,32.56,33.108,35.452
3,30,13,3,Long,28.79,31.140,31.140
5,8,27,26,Long,28.43,29.452,30.038
21,1,4,22,Long,27.02,28.038,30.382
25,20,1,1,Long,30.61,31.866,33.038
21,4,10,30,Long,28.23,30.554,30.554
23,19,2,2,Long,27.02,28.038,29.796
12,7,29,30,Long,28.60,30.038,30.624
21,1,22,30,Long,29.02,29.414,30.242
28,1,5,21,Long,30.48,31.280,33.038
23,24,1,1,Long,31.83,32.108,33.866
28,1,5,24,Long,32.53,32.522,34.280
21,4,1,25,Long,29.00,29.280,31.624
25,2,30,29,Long,27.46,29.070,29.656
10,24,30,1,Long,30.48,31.280,32.452
13,28,27,3,Long,28.65,30.796,31.968
4,2,26,25,Long,31.83,32.108,33.280
23,19,1,1,Long,28.43,29.452,31.210
4,2,23,22,Long,27.59,27.866,29.038
27,28,1,1,Long,37.48,37.764,40.694
4,2,29,23,Long,32.65,33.694,35.452
