TestID;StartX;StartY;TargetX;TargetY;PathFound;ExecutionTimeMs;ExploredNodes;PathLength;SimulatedFPS
0;2;3;28;15;True;7,5784;6;30,97;56,89
1;15;9;16;10;False;0,3299;9;0,00;96,81
2;5;5;5;15;True;0,0349;2;10,00;99,65
3;10;2;20;16;True;0,0394;4;18,14;99,61
4;31;0;0;17;True;0,0497;6;38,04;99,51
5;8;8;24;8;True;0,0329;2;16,00;99,67
6;1;15;30;2;True;0,0567;6;34,38;99,44
7;12;12;14;4;True;0,0575;7;12,48;99,43
8;18;5;3;10;True;0,0803;5;17,07;99,20
9;0;17;31;0;True;0,0485;6;38,04;99,52
10;7;3;25;12;True;0,0564;7;21,73;99,44
11;14;7;21;11;True;0,0659;6;8,66;99,35
12;22;4;9;14;True;0,0580;7;18,90;99,42
13;3;1;28;16;True;0,0523;7;31,21;99,48
14;11;8;11;2;True;0,0327;2;6,00;99,67
15;29;15;2;2;True;0,0686;6;32,38;99,32
16;16;0;16;17;True;0,0667;6;18,66;99,34
17;25;9;5;9;True;0,0739;3;20,00;99,27
18;19;13;8;3;True;0,0577;6;16,31;99,43
19;4;14;27;5;True;0,0530;6;26,73;99,47
20;13;6;22;15;True;0,0465;6;13,31;99,54
21;6;2;29;11;True;0,0544;7;26,73;99,46
22;20;10;1;16;True;0,0425;5;21,48;99,58
23;9;4;26;7;True;0,0373;3;18,24;99,63
24;24;1;10;13;True;0,2353;8;21,31;97,70
25;2;11;18;6;True;0,0486;4;18,07;99,52
26;30;8;4;1;True;0,0360;3;28,90;99,64
27;17;16;12;3;True;0,0568;7;15,90;99,44
28;8;15;23;0;True;0,0504;7;23,55;99,50
29;1;4;30;14;True;0,0514;6;33,14;99,49
30;27;12;6;4;True;0,0774;4;24,31;99,23
31;14;2;20;10;True;0,0434;4;10,48;99,57
32;21;17;9;2;True;0,0536;7;20,55;99,47
33;5;10;28;3;True;0,0438;5;25,90;99,56
34;10;6;15;14;True;0,0511;7;12,66;99,49
35;26;3;11;11;False;0,0585;7;0,00;99,42
36;3;13;24;5;True;0,0587;5;24,31;99,42
37;12;1;19;16;True;0,0492;5;17,90;99,51
38;31;9;0;9;True;0,0401;3;31,00;99,60
39;7;16;22;2;True;0,0530;7;23,14;99,47
40;18;8;7;15;True;0,1013;6;15,66;99,00
41;15;15;16;1;True;0,0523;6;16,07;99,48
42;23;5;4;12;True;0,0784;6;21,90;99,22
43;2;6;29;13;True;0,1135;6;29,90;98,88
44;28;0;3;17;True;0,0519;7;32,62;99,48
45;9;11;25;4;True;0,0414;6;19,48;99,59
46;16;4;13;12;True;0,0519;7;13,24;99,48
47;6;9;21;1;True;0,0512;3;18,31;99,49
48;11;17;26;8;True;0,0412;6;18,73;99,59
49;20;3;5;16;True;0,0665;7;21,55;99,34
50;4;8;27;10;True;0,0628;5;23,83;99,38
51;19;1;10;15;True;0,0658;8;19,14;99,35
52;13;14;24;2;True;0,0433;6;17,73;99,57
53;25;16;8;5;True;0,0557;5;21,55;99,45
54;1;10;30;7;True;0,0410;5;30,24;99,59
55;22;8;2;14;True;0,0582;6;22,48;99,42
56;17;5;14;13;True;0,0851;7;11,24;99,16
57;10;12;21;4;True;0,0416;5;16,66;99,59
58;8;1;28;9;True;0,0411;5;23,31;99,59
59;29;6;6;15;True;0,0535;6;26,73;99,47
60;3;17;23;8;True;0,0513;6;23,73;99,49
61;12;9;18;2;True;0,0360;3;9,48;99,64
62;27;14;5;1;True;0,0533;5;27,38;99,47
63;15;4;20;17;True;0,0573;5;15,07;99,43
64;26;10;9;5;True;0,0403;4;19,07;99,60
65;4;2;25;13;True;0,0537;7;25,55;99,47
66;21;6;11;15;True;0,0496;6;14,90;99,51
67;14;16;2;3;True;0,0400;4;17,97;99,60
68;24;11;17;1;True;0,0393;4;12,90;99,61
69;7;7;29;2;True;0,0405;3;24,07;99,60
70;18;0;12;14;True;0,0771;5;18,24;99,23
71;2;15;30;0;True;0,0522;6;34,21;99,48
72;31;16;0;1;True;0,0585;6;37,21;99,42
73;16;10;5;3;False;0,0129;1;0,00;99,87
74;11;5;22;12;True;0,0477;6;13,90;99,53
75;9;17;28;6;True;0,0525;6;23,55;99,48
76;23;2;13;9;True;0,0413;4;12,90;99,59
77;19;7;4;16;True;0,0542;7;19,31;99,46
78;6;13;27;1;True;0,0495;5;25,97;99,51
79;20;15;10;4;True;0,0532;7;16,31;99,47
80;5;1;26;16;True;0,0591;7;27,21;99,41
81;25;4;1;11;True;0,0566;6;26,90;99,44
82;14;11;21;0;False;0,0117;1;0,00;99,88
83;8;6;31;13;True;0,0533;7;25,90;99,47
84;28;17;2;5;True;0,0526;6;30,97;99,48
85;12;13;19;4;True;0,0448;7;14,24;99,55
86;22;1;7;10;True;0,1805;6;18,73;98,23
87;17;12;24;3;True;0,0581;7;27,31;99,42
88;3;8;20;14;True;0,0537;6;19,48;99,47
89;29;3;15;16;True;0,0477;5;19,38;99,53
90;10;0;23;17;True;0,0398;4;22,38;99,60
91;4;11;30;4;True;0,0440;5;28,90;99,56
92;27;7;9;12;True;0,0525;5;20,07;99,48
93;13;3;18;15;True;0,0494;4;14,07;99,51
94;21;14;6;6;True;0,0576;8;18,90;99,43
95;1;7;25;10;True;0,0511;5;25,24;99,49
96;26;15;11;2;True;0,0525;5;20,38;99,48
97;16;2;8;13;True;0,0394;5;14,31;99,61
98;24;16;3;0;True;0,0498;5;27,62;99,50
