StartX,StartY,TargetX,TargetY
2,3,28,15
15,9,16,10
5,5,5,15
10,2,20,16
31,0,0,17
8,8,24,8
1,15,30,2
12,12,14,4
18,5,3,10
0,17,31,0
7,3,25,12
14,7,21,11
22,4,9,14
3,1,28,16
11,8,11,2
29,15,2,2
16,0,16,17
25,9,5,9
19,13,8,3
4,14,27,5
13,6,22,15
6,2,29,11
20,10,1,16
9,4,26,7
24,1,10,13
2,11,18,6
30,8,4,1
17,16,12,3
8,15,23,0
1,4,30,14
27,12,6,4
14,2,20,10
21,17,9,2
5,10,28,3
10,6,15,14
26,3,11,11
3,13,24,5
12,1,19,16
31,9,0,9
7,16,22,2
18,8,7,15
15,15,16,1
23,5,4,12
2,6,29,13
28,0,3,17
9,11,25,4
16,4,13,12
6,9,21,1
11,17,26,8
20,3,5,16
4,8,27,10
19,1,10,15
13,14,24,2
25,16,8,5
1,10,30,7
22,8,2,14
17,5,14,13
10,12,21,4
8,1,28,9
29,6,6,15
3,17,23,8
12,9,18,2
27,14,5,1
15,4,20,17
26,10,9,5
4,2,25,13
21,6,11,15
14,16,2,3
24,11,17,1
7,7,29,2
18,0,12,14
2,15,30,0
31,16,0,1
16,10,5,3
11,5,22,12
9,17,28,6
23,2,13,9
19,7,4,16
6,13,27,1
20,15,10,4
5,1,26,16
25,4,1,11
14,11,21,0
8,6,31,13
28,17,2,5
12,13,19,4
22,1,7,10
17,12,24,3
3,8,20,14
29,3,15,16
10,0,23,17
4,11,30,4
27,7,9,12
13,3,18,15
21,14,6,6
1,7,25,10
26,15,11,2
16,2,8,13
24,16,3,0
